Plate-IFU,extinction,ha_6564,ha_6564c,l_ha,l_hac
9191-12703,0.36977761251503105,1.0959404296875001e-14,2.5399864955902622e-14,2.249191861548732e+40,5.212798797790771e+40
9191-12704,999.0,0.0,999.0,999.0,999.0
9191-12705,0.2715331403552059,1.9603579101562502e-14,3.634066628519195e-14,4.358497112794637e+40,8.079682197850186e+40
9191-1901,999.0,0.0,999.0,999.0,999.0
9191-1902,0.24537973851914174,4.291919921875e-14,7.497051397059941e-14,5.839937711891988e+40,1.020110206589218e+41
9191-3701,0.2166533270033674,6.041822265625e-14,9.886626094687895e-14,1.3657980587557986e+41,2.23494405067083e+41
9191-3702,0.40591668382058604,4.201123046875e-15,1.0570276602699623e-14,1.2570105603277332e+41,3.1627136760638462e+41
9191-3703,999.0,0.0,999.0,999.0,999.0
9191-3704,999.0,0.0,999.0,999.0,999.0
9191-6101,0.32539112356556504,3.686702270507813e-15,7.724389833804205e-15,2.906225518462453e+40,6.089132564117142e+40
9191-6102,0.275094477521001,3.4740676879882813e-15,6.492493807924991e-15,2.537191564357454e+40,4.741617608103972e+40
9191-6104,999.0,0.0,999.0,999.0,999.0
9191-9101,0.4231816920745096,1.5859600830078127e-15,4.150087168987632e-15,4.8004790262587845e+40,1.2561732558922595e+41
9191-9102,0.283711618600704,4.3724868164062504e-14,8.333138856019711e-14,9.461616852274488e+40,1.8032065125187087e+41
9192-12701,0.1762402739699915,4.629735717773438e-15,6.9109953231901895e-15,8.719703480564606e+39,1.301625700630029e+40
9192-12702,999.0,0.0,999.0,999.0,999.0
9192-12703,0.37554035482334536,6.010585021972657e-16,1.4114002274036043e-15,1.2019581888651521e+39,2.822427525594059e+39
9192-12704,0.38683652173758315,1.25416162109375e-13,3.021610778084216e-13,5.779184966788283e+41,1.392360226185267e+42
9192-12705,999.0,0.0,999.0,999.0,999.0
9192-1901,0.34204338798068523,3.485137939453125e-16,7.583770894019721e-16,8.302442808173366e+38,1.8066379354777723e+39
9192-1902,0.30881605452058253,7.205428222656251e-14,1.4538613970385284e-13,1.0694162392947696e+41,2.1577940125585186e+41
9192-3701,999.0,0.0,999.0,999.0,999.0
9192-3702,999.0,0.0,999.0,999.0,999.0
9192-3703,9.428910491346127,1.3698568e-10,0.2785451538498698,6.291213826055358e+44,1.2792484025198966e+54
9192-3704,0.43824244801158047,7.68491455078125e-15,2.0809995561502196e-14,1.1208705512011222e+40,3.0352076189503777e+40
9192-6101,0.3532478201614133,8.65129296875e-14,1.9311111318913047e-13,1.7122451481896976e+41,3.82201328534335e+41
9192-6102,0.3868023435262335,7.24728515625e-15,1.745929178942982e-14,9.157967763740393e+39,2.20622795899574e+40
9192-6103,999.0,999.0,999.0,999.0,999.0
9192-6104,0.23231786639100566,4.4918730468750005e-14,7.616784547278348e-14,8.113841970340636e+40,1.3758489052076913e+41
9192-9101,0.011608921547368908,6.957566070556641e-16,7.143608848320255e-16,8.830479546202679e+38,9.066603346839313e+38
9192-9102,0.1453069949626338,1.1184775829315186e-17,1.5562320299616557e-17,2.2410100356320472e+37,3.118105941627652e+37
9193-12702,0.14173768569944992,2.941157470703125e-14,4.059211878381377e-14,4.3330038488414955e+40,5.980156066953064e+40
9193-12703,0.14633459982442798,1.6518597412109376e-15,2.30374648565627e-15,2.5013209626624684e+39,3.48843744627358e+39
